,exposure,kind
size,-0.04945960320706141,style
non_linear_size,-0.09851254414015309,style
momentum,0.04745586938536821,style
liquidity,-0.07352880233781021,style
book_to_price,0.02610933374538277,style
leverage,0.008279575217247016,style
growth,0.0004908783243757748,style
earnings_yield,0.013148544468397862,style
beta,-0.019570131071898447,style
residual_volatility,-0.29005360189497276,style
comovement,0.07086645105853172,style
银行,-0.43455091628395637,industry
计算机,0.012706565192489215,industry
环保,-0.08031032614383547,industry
商贸零售,0.07465881786916899,industry
电力设备,0.02556147675127901,industry
建筑装饰,-0.000593013022703262,industry
建筑材料,-0.010157526707066513,industry
农林牧渔,0.10483519956333132,industry
电子,-0.025163959587756968,industry
交通运输,-0.007965923609719374,industry
汽车,0.0815591849937886,industry
纺织服饰,0.014180036145916614,industry
医药生物,0.08754242314710668,industry
房地产,-0.03281877426970592,industry
通信,0.02573350789700582,industry
公用事业,0.027029764867548517,industry
综合,0.02926349548529223,industry
机械设备,0.00917008141154198,industry
石油石化,0.05478739413722583,industry
有色金属,0.044920355176203006,industry
传媒,0.05353006211883204,industry
家用电器,-0.011092068212090059,industry
基础化工,0.011840753674417542,industry
非银金融,-0.1485844752196243,industry
社会服务,-0.05075102905203372,industry
轻工制造,-0.023943839705884,industry
国防军工,-0.01431867420336905,industry
美容护理,0.06824281866529679,industry
煤炭,0.06586244114657822,industry
食品饮料,0.02049399845062497,industry
钢铁,0.09919860038263184,industry
alpha_1_minus_r2,0.8404185938431139,alpha
